[Fees],,,,,
!Label,!License Type Abbr,!Application Type,!Flat Rate,!Apply Tax,!Removable
Journeyman Class A,Prorate,dollar,-66.68,-4 months,-3 months
Journeyman Class B,Prorate,dollar,-2.12,-35 months,-34 months
Journeyman Class B,Prorate,dollar,-4.92,-34 months,-33 months
Journeyman Class B,Prorate,dollar,-6.28,-33 months,-32 months
Journeyman Class B,Prorate,dollar,-8.36,-32 months,-31 months
Journeyman Class B,Prorate,dollar,-10.44,-31 months,-30 months
Journeyman Class B,Prorate,dollar,-12.52,-30 months,-29 months
Journeyman Class B,Prorate,dollar,-14.6,-29 months,-28 months
Journeyman Class B,Prorate,dollar,-16.68,-28 months,-27 months
Journeyman Class B,Prorate,dollar,-18.76,-27 months,-26 months
Journeyman Class B,Prorate,dollar,-20.84,-26 months,-25 months
Journeyman Class B,Prorate,dollar,-22.92,-25 months,-24 months
Journeyman Class B,Prorate,dollar,-25,-24 months,-23 months
Journeyman Class B,Prorate,dollar,-27.12,-23 months,-22 months
Journeyman Class B,Prorate,dollar,-29.2,-22 months,-21 months
Journeyman Class B,Prorate,dollar,-31.28,-21 months,-20 months
Journeyman Class B,Prorate,dollar,-33.36,-20 months,-19 months
Journeyman Class B,Prorate,dollar,-35.44,-19 months,-18 months
Journeyman Class B,Prorate,dollar,-37.52,-18 months,-17 months
Journeyman Class B,Prorate,dollar,-39.6,-17 months,-16 months
Journeyman Class B,Prorate,dollar,-41.68,-16 months,-15 months
Journeyman Class B,Prorate,dollar,-43.76,-15 months,-14 months
Journeyman Class B,Prorate,dollar,-45.84,-14 months,-13 months
Journeyman Class B,Prorate,dollar,-47.92,-13 months,-12 months
Journeyman Class B,Prorate,dollar,-50,-12 months,-11 months
Journeyman Class B,Prorate,dollar,-52.12,-11 months,-10 months
Journeyman Class B,Prorate,dollar,-54.2,-10 months,-9 months
Journeyman Class B,Prorate,dollar,-56.28,-9 months,-8 months
Journeyman Class B,Prorate,dollar,-58.36,-8 months,-7 months
Journeyman Class B,Prorate,dollar,-60.44,-7 months,-6 months
Journeyman Class B,Prorate,dollar,-62.52,-6 months,-5 months
Journeyman Class B,Prorate,dollar,-64.6,-5 months,-4 months
Journeyman Class B,Prorate,dollar,-66.68,-4 months,-3 months
Special Electrician,Prorate,dollar,-2.12,-35 months,-34 months
Special Electrician,Prorate,dollar,-4.92,-34 months,-33 months
Special Electrician,Prorate,dollar,-6.28,-33 months,-32 months
Special Electrician,Prorate,dollar,-8.36,-32 months,-31 months
Special Electrician,Prorate,dollar,-10.44,-31 months,-30 months
Special Electrician,Prorate,dollar,-12.52,-30 months,-29 months
Special Electrician,Prorate,dollar,-14.6,-29 months,-28 months
Special Electrician,Prorate,dollar,-16.68,-28 months,-27 months
Special Electrician,Prorate,dollar,-18.76,-27 months,-26 months
Special Electrician,Prorate,dollar,-20.84,-26 months,-25 months
Special Electrician,Prorate,dollar,-22.92,-25 months,-24 months
Special Electrician,Prorate,dollar,-25,-24 months,-23 months
Special Electrician,Prorate,dollar,-27.12,-23 months,-22 months
Special Electrician,Prorate,dollar,-29.2,-22 months,-21 months
Special Electrician,Prorate,dollar,-31.28,-21 months,-20 months
Special Electrician,Prorate,dollar,-33.36,-20 months,-19 months
Special Electrician,Prorate,dollar,-35.44,-19 months,-18 months
Special Electrician,Prorate,dollar,-37.52,-18 months,-17 months
Special Electrician,Prorate,dollar,-39.6,-17 months,-16 months
Special Electrician,Prorate,dollar,-41.68,-16 months,-15 months
Special Electrician,Prorate,dollar,-43.76,-15 months,-14 months
Special Electrician,Prorate,dollar,-45.84,-14 months,-13 months
Special Electrician,Prorate,dollar,-47.92,-13 months,-12 months
Special Electrician,Prorate,dollar,-50,-12 months,-11 months
Special Electrician,Prorate,dollar,-52.12,-11 months,-10 months
Special Electrician,Prorate,dollar,-54.2,-10 months,-9 months
Special Electrician,Prorate,dollar,-56.28,-9 months,-8 months
Special Electrician,Prorate,dollar,-58.36,-8 months,-7 months
Special Electrician,Prorate,dollar,-60.44,-7 months,-6 months
Special Electrician,Prorate,dollar,-62.52,-6 months,-5 months
Special Electrician,Prorate,dollar,-64.6,-5 months,-4 months
Special Electrician,Prorate,dollar,-66.68,-4 months,-3 months
Master Class A,Prorate,dollar,-10.49,-35 months,-34 months
Master Class A,Prorate,dollar,-20.9,-34 months,-33 months
Master Class A,Prorate,dollar,-31.31,-33 months,-32 months
Master Class A,Prorate,dollar,-41.72,-32 months,-31 months
Master Class A,Prorate,dollar,-52.13,-31 months,-30 months
Master Class A,Prorate,dollar,-62.54,-30 months,-29 months
Master Class A,Prorate,dollar,-72.95,-29 months,-28 months
Master Class A,Prorate,dollar,-83.36,-28 months,-27 months
Master Class A,Prorate,dollar,-93.77,-27 months,-26 months
Master Class A,Prorate,dollar,-104.18,-26 months,-25 months
Master Class A,Prorate,dollar,-114.59,-25 months,-24 months
Master Class A,Prorate,dollar,-125,-24 months,-23 months
Master Class A,Prorate,dollar,-135.49,-23 months,-22 months
Master Class A,Prorate,dollar,-145.9,-22 months,-21 months
Master Class A,Prorate,dollar,-156.39,-21 months,-20 months
Master Class A,Prorate,dollar,-166.72,-20 months,-19 months
Master Class A,Prorate,dollar,-177.13,-19 months,-18 months
Master Class A,Prorate,dollar,-187.54,-18 months,-17 months
Master Class A,Prorate,dollar,-197.95,-17 months,-16 months
Master Class A,Prorate,dollar,-208.36,-16 months,-15 months
Master Class A,Prorate,dollar,-218.77,-15 months,-14 months
Master Class A,Prorate,dollar,-229.18,-14 months,-13 months
Master Class A,Prorate,dollar,-239.59,-13 months,-12 months
Master Class A,Prorate,dollar,-250,-12 months,-11 months
Master Class A,Prorate,dollar,-260.49,-11 months,-10 months
Master Class A,Prorate,dollar,-270.9,-10 months,-9 months
Master Class A,Prorate,dollar,-281.31,-9 months,-8 months
Master Class A,Prorate,dollar,-291.72,-8 months,-7 months
Master Class A,Prorate,dollar,-302.13,-7 months,-6 months
Master Class A,Prorate,dollar,-312.54,-6 months,-5 months
Master Class A,Prorate,dollar,-322.95,-5 months,-4 months
Master Class A,Prorate,dollar,-333.36,-4 months,-3 months
Master Class B,Prorate,dollar,-10.49,-35 months,-34 months
Master Class B,Prorate,dollar,-20.9,-34 months,-33 months
Master Class B,Prorate,dollar,-31.31,-33 months,-32 months
Master Class B,Prorate,dollar,-41.72,-32 months,-31 months
Master Class B,Prorate,dollar,-52.13,-31 months,-30 months
Master Class B,Prorate,dollar,-62.54,-30 months,-29 months
Master Class B,Prorate,dollar,-72.95,-29 months,-28 months
Master Class B,Prorate,dollar,-83.36,-28 months,-27 months
Master Class B,Prorate,dollar,-93.77,-27 months,-26 months
Master Class B,Prorate,dollar,-104.18,-26 months,-25 months
Master Class B,Prorate,dollar,-114.59,-25 months,-24 months
Master Class B,Prorate,dollar,-125,-24 months,-23 months
Master Class B,Prorate,dollar,-135.49,-23 months,-22 months
Master Class B,Prorate,dollar,-145.9,-22 months,-21 months
Master Class B,Prorate,dollar,-156.39,-21 months,-20 months
Master Class B,Prorate,dollar,-166.72,-20 months,-19 months
Master Class B,Prorate,dollar,-177.13,-19 months,-18 months
Master Class B,Prorate,dollar,-187.54,-18 months,-17 months
Master Class B,Prorate,dollar,-197.95,-17 months,-16 months
Master Class B,Prorate,dollar,-208.36,-16 months,-15 months
Master Class B,Prorate,dollar,-218.77,-15 months,-14 months
Master Class B,Prorate,dollar,-229.18,-14 months,-13 months
Master Class B,Prorate,dollar,-239.59,-13 months,-12 months
Master Class B,Prorate,dollar,-250,-12 months,-11 months
Master Class B,Prorate,dollar,-260.49,-11 months,-10 months
Master Class B,Prorate,dollar,-270.9,-10 months,-9 months
Master Class B,Prorate,dollar,-281.31,-9 months,-8 months
Master Class B,Prorate,dollar,-291.72,-8 months,-7 months
Master Class B,Prorate,dollar,-302.13,-7 months,-6 months
Master Class B,Prorate,dollar,-312.54,-6 months,-5 months
Master Class B,Prorate,dollar,-322.95,-5 months,-4 months
Master Class B,Prorate,dollar,-333.36,-4 months,-3 months
Electrical Contractor,Prorate,dollar,-10.49,-35 months,-34 months
Electrical Contractor,Prorate,dollar,-20.9,-34 months,-33 months
Electrical Contractor,Prorate,dollar,-31.31,-33 months,-32 months
Electrical Contractor,Prorate,dollar,-41.72,-32 months,-31 months
Electrical Contractor,Prorate,dollar,-52.13,-31 months,-30 months
Electrical Contractor,Prorate,dollar,-62.54,-30 months,-29 months
Electrical Contractor,Prorate,dollar,-72.95,-29 months,-28 months
Electrical Contractor,Prorate,dollar,-83.36,-28 months,-27 months
Electrical Contractor,Prorate,dollar,-93.77,-27 months,-26 months
Electrical Contractor,Prorate,dollar,-104.18,-26 months,-25 months
Electrical Contractor,Prorate,dollar,-114.59,-25 months,-24 months
Electrical Contractor,Prorate,dollar,-125,-24 months,-23 months
Electrical Contractor,Prorate,dollar,-135.49,-23 months,-22 months
Electrical Contractor,Prorate,dollar,-145.9,-22 months,-21 months
Electrical Contractor,Prorate,dollar,-156.39,-21 months,-20 months
Electrical Contractor,Prorate,dollar,-166.72,-20 months,-19 months
Electrical Contractor,Prorate,dollar,-177.13,-19 months,-18 months
Electrical Contractor,Prorate,dollar,-187.54,-18 months,-17 months
Electrical Contractor,Prorate,dollar,-197.95,-17 months,-16 months
Electrical Contractor,Prorate,dollar,-208.36,-16 months,-15 months
Electrical Contractor,Prorate,dollar,-218.77,-15 months,-14 months
Electrical Contractor,Prorate,dollar,-229.18,-14 months,-13 months
Electrical Contractor,Prorate,dollar,-239.59,-13 months,-12 months
Electrical Contractor,Prorate,dollar,-250,-12 months,-11 months
Electrical Contractor,Prorate,dollar,-260.49,-11 months,-10 months
Electrical Contractor,Prorate,dollar,-270.9,-10 months,-9 months
Electrical Contractor,Prorate,dollar,-281.31,-9 months,-8 months
Electrical Contractor,Prorate,dollar,-291.72,-8 months,-7 months
Electrical Contractor,Prorate,dollar,-302.13,-7 months,-6 months
Electrical Contractor,Prorate,dollar,-312.54,-6 months,-5 months
Electrical Contractor,Prorate,dollar,-322.95,-5 months,-4 months
Electrical Contractor,Prorate,dollar,-333.36,-4 months,-3 months
Residential Master,Prorate,dollar,-10.49,-35 months,-34 months
Residential Master,Prorate,dollar,-20.9,-34 months,-33 months
Residential Master,Prorate,dollar,-31.31,-33 months,-32 months
Residential Master,Prorate,dollar,-41.72,-32 months,-31 months
Residential Master,Prorate,dollar,-52.13,-31 months,-30 months
Residential Master,Prorate,dollar,-62.54,-30 months,-29 months
Residential Master,Prorate,dollar,-72.95,-29 months,-28 months
Residential Master,Prorate,dollar,-83.36,-28 months,-27 months
Residential Master,Prorate,dollar,-93.77,-27 months,-26 months
Residential Master,Prorate,dollar,-104.18,-26 months,-25 months
Residential Master,Prorate,dollar,-114.59,-25 months,-24 months
Residential Master,Prorate,dollar,-125,-24 months,-23 months
Residential Master,Prorate,dollar,-135.49,-23 months,-22 months
Residential Master,Prorate,dollar,-145.9,-22 months,-21 months
Residential Master,Prorate,dollar,-156.39,-21 months,-20 months
Residential Master,Prorate,dollar,-166.72,-20 months,-19 months
Residential Master,Prorate,dollar,-177.13,-19 months,-18 months
Residential Master,Prorate,dollar,-187.54,-18 months,-17 months
Residential Master,Prorate,dollar,-197.95,-17 months,-16 months
Residential Master,Prorate,dollar,-208.36,-16 months,-15 months
Residential Master,Prorate,dollar,-218.77,-15 months,-14 months
Residential Master,Prorate,dollar,-229.18,-14 months,-13 months
Residential Master,Prorate,dollar,-239.59,-13 months,-12 months
Residential Master,Prorate,dollar,-250,-12 months,-11 months
Residential Master,Prorate,dollar,-260.49,-11 months,-10 months
Residential Master,Prorate,dollar,-270.9,-10 months,-9 months
Residential Master,Prorate,dollar,-281.31,-9 months,-8 months
Residential Master,Prorate,dollar,-291.72,-8 months,-7 months
Residential Master,Prorate,dollar,-302.13,-7 months,-6 months
Residential Master,Prorate,dollar,-312.54,-6 months,-5 months
Residential Master,Prorate,dollar,-322.95,-5 months,-4 months
Residential Master,Prorate,dollar,-333.36,-4 months,-3 months
Residential Contractor,Prorate,dollar,-10.49,-35 months,-34 months
Residential Contractor,Prorate,dollar,-20.9,-34 months,-33 months
Residential Contractor,Prorate,dollar,-31.31,-33 months,-32 months
Residential Contractor,Prorate,dollar,-41.72,-32 months,-31 months
Residential Contractor,Prorate,dollar,-52.13,-31 months,-30 months
Residential Contractor,Prorate,dollar,-62.54,-30 months,-29 months
Residential Contractor,Prorate,dollar,-72.95,-29 months,-28 months
Residential Contractor,Prorate,dollar,-83.36,-28 months,-27 months
Residential Contractor,Prorate,dollar,-93.77,-27 months,-26 months
Residential Contractor,Prorate,dollar,-104.18,-26 months,-25 months
Residential Contractor,Prorate,dollar,-114.59,-25 months,-24 months
Residential Contractor,Prorate,dollar,-125,-24 months,-23 months
Residential Contractor,Prorate,dollar,-135.49,-23 months,-22 months
Residential Contractor,Prorate,dollar,-145.9,-22 months,-21 months
Residential Contractor,Prorate,dollar,-156.39,-21 months,-20 months
Residential Contractor,Prorate,dollar,-166.72,-20 months,-19 months
Residential Contractor,Prorate,dollar,-177.13,-19 months,-18 months
Residential Contractor,Prorate,dollar,-187.54,-18 months,-17 months
Residential Contractor,Prorate,dollar,-197.95,-17 months,-16 months
Residential Contractor,Prorate,dollar,-208.36,-16 months,-15 months
Residential Contractor,Prorate,dollar,-218.77,-15 months,-14 months
Residential Contractor,Prorate,dollar,-229.18,-14 months,-13 months
Residential Contractor,Prorate,dollar,-239.59,-13 months,-12 months
Residential Contractor,Prorate,dollar,-250,-12 months,-11 months
Residential Contractor,Prorate,dollar,-260.49,-11 months,-10 months
Residential Contractor,Prorate,dollar,-270.9,-10 months,-9 months
Residential Contractor,Prorate,dollar,-281.31,-9 months,-8 months
Residential Contractor,Prorate,dollar,-291.72,-8 months,-7 months
Residential Contractor,Prorate,dollar,-302.13,-7 months,-6 months
Residential Contractor,Prorate,dollar,-312.54,-6 months,-5 months
Residential Contractor,Prorate,dollar,-322.95,-5 months,-4 months
Residential Contractor,Prorate,dollar,-333.36,-4 months,-3 months
Residential Electrician,Prorate,dollar,-2.12,-35 months,-34 months
Residential Electrician,Prorate,dollar,-4.92,-34 months,-33 months
Residential Electrician,Prorate,dollar,-6.28,-33 months,-32 months
Residential Electrician,Prorate,dollar,-8.36,-32 months,-31 months
Residential Electrician,Prorate,dollar,-10.44,-31 months,-30 months
Residential Electrician,Prorate,dollar,-12.52,-30 months,-29 months
Residential Electrician,Prorate,dollar,-14.6,-29 months,-28 months
Residential Electrician,Prorate,dollar,-16.68,-28 months,-27 months
Residential Electrician,Prorate,dollar,-18.76,-27 months,-26 months
Residential Electrician,Prorate,dollar,-20.84,-26 months,-25 months
Residential Electrician,Prorate,dollar,-22.92,-25 months,-24 months
Residential Electrician,Prorate,dollar,-25,-24 months,-23 months
Residential Electrician,Prorate,dollar,-27.12,-23 months,-22 months
Residential Electrician,Prorate,dollar,-29.2,-22 months,-21 months
Residential Electrician,Prorate,dollar,-31.28,-21 months,-20 months
Residential Electrician,Prorate,dollar,-33.36,-20 months,-19 months
Residential Electrician,Prorate,dollar,-35.44,-19 months,-18 months
Residential Electrician,Prorate,dollar,-37.52,-18 months,-17 months
Residential Electrician,Prorate,dollar,-39.6,-17 months,-16 months
Residential Electrician,Prorate,dollar,-41.68,-16 months,-15 months
Residential Electrician,Prorate,dollar,-43.76,-15 months,-14 months
Residential Electrician,Prorate,dollar,-45.84,-14 months,-13 months
Residential Electrician,Prorate,dollar,-47.92,-13 months,-12 months
Residential Electrician,Prorate,dollar,-50,-12 months,-11 months
Residential Electrician,Prorate,dollar,-52.12,-11 months,-10 months
Residential Electrician,Prorate,dollar,-54.2,-10 months,-9 months
Residential Electrician,Prorate,dollar,-56.28,-9 months,-8 months
Residential Electrician,Prorate,dollar,-58.36,-8 months,-7 months
Residential Electrician,Prorate,dollar,-60.44,-7 months,-6 months
Residential Electrician,Prorate,dollar,-62.52,-6 months,-5 months
Residential Electrician,Prorate,dollar,-64.6,-5 months,-4 months
Residential Electrician,Prorate,dollar,-66.68,-4 months,-3 months
Inactive Master Class A,Prorate,dollar,-2.12,-35 months,-34 months
Inactive Master Class A,Prorate,dollar,-4.92,-34 months,-33 months
Inactive Master Class A,Prorate,dollar,-6.28,-33 months,-32 months
Inactive Master Class A,Prorate,dollar,-8.36,-32 months,-31 months
Inactive Master Class A,Prorate,dollar,-10.44,-31 months,-30 months
Inactive Master Class A,Prorate,dollar,-12.52,-30 months,-29 months
Inactive Master Class A,Prorate,dollar,-14.6,-29 months,-28 months
Inactive Master Class A,Prorate,dollar,-16.68,-28 months,-27 months
Inactive Master Class A,Prorate,dollar,-18.76,-27 months,-26 months
Inactive Master Class A,Prorate,dollar,-20.84,-26 months,-25 months
Inactive Master Class A,Prorate,dollar,-22.92,-25 months,-24 months
Inactive Master Class A,Prorate,dollar,-25,-24 months,-23 months
Inactive Master Class A,Prorate,dollar,-27.12,-23 months,-22 months
Inactive Master Class A,Prorate,dollar,-29.2,-22 months,-21 months
Inactive Master Class A,Prorate,dollar,-31.28,-21 months,-20 months
Inactive Master Class A,Prorate,dollar,-33.36,-20 months,-19 months
Inactive Master Class A,Prorate,dollar,-35.44,-19 months,-18 months
Inactive Master Class A,Prorate,dollar,-37.52,-18 months,-17 months
Inactive Master Class A,Prorate,dollar,-39.6,-17 months,-16 months
Inactive Master Class A,Prorate,dollar,-41.68,-16 months,-15 months
Inactive Master Class A,Prorate,dollar,-43.76,-15 months,-14 months
Inactive Master Class A,Prorate,dollar,-45.84,-14 months,-13 months
Inactive Master Class A,Prorate,dollar,-47.92,-13 months,-12 months
Inactive Master Class A,Prorate,dollar,-50,-12 months,-11 months
Inactive Master Class A,Prorate,dollar,-52.12,-11 months,-10 months
Inactive Master Class A,Prorate,dollar,-54.2,-10 months,-9 months
Inactive Master Class A,Prorate,dollar,-56.28,-9 months,-8 months
Inactive Master Class A,Prorate,dollar,-58.36,-8 months,-7 months
Inactive Master Class A,Prorate,dollar,-60.44,-7 months,-6 months
Inactive Master Class A,Prorate,dollar,-62.52,-6 months,-5 months
Inactive Master Class A,Prorate,dollar,-64.6,-5 months,-4 months
Inactive Master Class A,Prorate,dollar,-66.68,-4 months,-3 months
Inactive Master Class B,Prorate,dollar,-2.12,-35 months,-34 months
Inactive Master Class B,Prorate,dollar,-4.92,-34 months,-33 months
Inactive Master Class B,Prorate,dollar,-6.28,-33 months,-32 months
Inactive Master Class B,Prorate,dollar,-8.36,-32 months,-31 months
Inactive Master Class B,Prorate,dollar,-10.44,-31 months,-30 months
Inactive Master Class B,Prorate,dollar,-12.52,-30 months,-29 months
Inactive Master Class B,Prorate,dollar,-14.6,-29 months,-28 months
Inactive Master Class B,Prorate,dollar,-16.68,-28 months,-27 months
Inactive Master Class B,Prorate,dollar,-18.76,-27 months,-26 months
Inactive Master Class B,Prorate,dollar,-20.84,-26 months,-25 months
Inactive Master Class B,Prorate,dollar,-22.92,-25 months,-24 months
Inactive Master Class B,Prorate,dollar,-25,-24 months,-23 months
Inactive Master Class B,Prorate,dollar,-27.12,-23 months,-22 months
Inactive Master Class B,Prorate,dollar,-29.2,-22 months,-21 months
Inactive Master Class B,Prorate,dollar,-31.28,-21 months,-20 months
Inactive Master Class B,Prorate,dollar,-33.36,-20 months,-19 months
Inactive Master Class B,Prorate,dollar,-35.44,-19 months,-18 months
Inactive Master Class B,Prorate,dollar,-37.52,-18 months,-17 months
Inactive Master Class B,Prorate,dollar,-39.6,-17 months,-16 months
Inactive Master Class B,Prorate,dollar,-41.68,-16 months,-15 months
Inactive Master Class B,Prorate,dollar,-43.76,-15 months,-14 months
Inactive Master Class B,Prorate,dollar,-45.84,-14 months,-13 months
Inactive Master Class B,Prorate,dollar,-47.92,-13 months,-12 months
Inactive Master Class B,Prorate,dollar,-50,-12 months,-11 months
Inactive Master Class B,Prorate,dollar,-52.12,-11 months,-10 months
Inactive Master Class B,Prorate,dollar,-54.2,-10 months,-9 months
Inactive Master Class B,Prorate,dollar,-56.28,-9 months,-8 months
Inactive Master Class B,Prorate,dollar,-58.36,-8 months,-7 months
Inactive Master Class B,Prorate,dollar,-60.44,-7 months,-6 months
Inactive Master Class B,Prorate,dollar,-62.52,-6 months,-5 months
Inactive Master Class B,Prorate,dollar,-64.6,-5 months,-4 months
Inactive Master Class B,Prorate,dollar,-66.68,-4 months,-3 months
